Name,link,store,price
"Costco: Logitech Precision Pro Wireless Mouse (M720 Triathlon) $25, $19.99 + $4.99 Shipping",https://slickdeals.net/f/15215284-costco-logitech-precision-pro-wireless-mouse-m720-triathlon-25-19-99-4-99-shipping,Costco Wholesale,$19.99
32GB (2x16GB) G.SKILL Ripjaws Series 3200 MHz  DDR4 SO-DIMM Laptop Memory - $120 @ Newegg,https://slickdeals.net/f/15215026-32gb-2x16gb-g-skill-ripjaws-series-3200-mhz-ddr4-so-dimm-laptop-memory-120-newegg,Newegg,$119.99
32GB (2x 16) G.SKILL Trident Z RGB (For AMD)  DDR4 3200 Desktop RAM kit @Newegg $151,https://slickdeals.net/f/15216415-32gb-2x-16-g-skill-trident-z-rgb-for-amd-ddr4-3200-desktop-ram-kit-newegg-151,Newegg,$151
32GB (2x 16) Team T-Force Delta RGB DDR4 3200 Desktop RAM Kit @Newegg $130,https://slickdeals.net/f/15216409-32gb-2x-16-team-t-force-delta-rgb-ddr4-3200-desktop-ram-kit-newegg-130,Newegg,$130
ASUS PCE-AC56 and ASUS PCE-AC68 Wireless PCI-E Adapter (Newegg) ($22.99 After MIR),https://slickdeals.net/f/15216394-asus-pce-ac56-and-asus-pce-ac68-wireless-pci-e-adapter-newegg-22-99-after-mir,,$22.99
16GB (2x 8)Team Elite DDR4 3200 SO-DIMM Laptop RAM kit @Newegg $65,https://slickdeals.net/f/15216331-16gb-2x-8-team-elite-ddr4-3200-so-dimm-laptop-ram-kit-newegg-65,Newegg,$65
"TEAMGROUP MP33 PRO 1TB M.2 PCIe 3.0x4 NVMe 2280 Internal SSD, R/W: 2100/1800 MB/S @ $90.99 + F/S",https://slickdeals.net/f/15216301-teamgroup-mp33-pro-1tb-m-2-pcie-3-0x4-nvme-2280-internal-ssd-r-w-2100-1800-mb-s-90-99-f-s,Amazon,$90.99
"*Price Drop!* Open Box Monoprice Monitors: 27"" Vivid 4K 60Hz 100% sRGB $229.99 or 27"" CrystalPro 4K 60Hz IPS $209.99, 32"" Ultra Slim 4K 60Hz $199.99 + Free Shipping via Monoprice",https://slickdeals.net/f/15216310-price-drop-open-box-monoprice-monitors-27-vivid-4k-60hz-100-srgb-229-99-or-27-crystalpro-4k-60hz-ips-209-99-32-ultra-slim-4k-60hz-199-99-free-shipping-via-monoprice,Monoprice,$199.99
Xpg Gammix S11 Pro Series: 2tb M.2 2280 Nvme 3d Nand Gen3 Gaming Internal Ssd : Target $219.99,https://slickdeals.net/f/15216010-xpg-gammix-s11-pro-series-2tb-m-2-2280-nvme-3d-nand-gen3-gaming-internal-ssd-target-219-99,Target,$219.99
"Acer Aspire 5 A515-46: 15.6"" FHD IPS, Ryzen 3 3350U 4 Core, 4GB DDR4, 128GB PCIe SSD, Wi-Fi 6, Win10H @ $337.36 + F/S",https://slickdeals.net/f/15216229-acer-aspire-5-a515-46-15-6-fhd-ips-ryzen-3-3350u-4-core-4gb-ddr4-128gb-pcie-ssd-wi-fi-6-win10h-337-36-f-s,Amazon,$337.36
